,adjustment_method,empirical_fdr,num_rejections,empirical_power,testing_method,nonnull_type,regime_id,repetition_id,trial_id
0,BH,0.0,0.0,0.0,hypergeometric.ga,comp,0,0,0
1,BH,0.0,0.0,0.0,simes,self,0,0,0
2,BH,0.0,0.0,0.0,hypergeometric.ga,comp,0,1,1
3,BH,0.0,0.0,0.0,simes,self,0,1,1
4,BH,0.0,0.0,0.0,hypergeometric.ga,comp,0,2,2
5,BH,0.0,0.0,0.0,simes,self,0,2,2
6,BH,0.0,0.0,0.0,hypergeometric.ga,comp,0,3,3
7,BH,0.0,0.0,0.0,simes,self,0,3,3
8,BH,0.0,0.0,0.0,hypergeometric.ga,comp,0,4,4
9,BH,0.0,0.0,0.0,simes,self,0,4,4
10,BH,0.0,0.0,0.0,hypergeometric.ga,comp,0,5,5
11,BH,0.0,0.0,0.0,simes,self,0,5,5
12,BH,0.0,0.0,0.0,hypergeometric.ga,comp,0,6,6
13,BH,0.0,0.0,0.0,simes,self,0,6,6
14,BH,0.0,0.0,0.0,hypergeometric.ga,comp,0,7,7
15,BH,0.0,0.0,0.0,simes,self,0,7,7
16,BH,0.0,0.0,0.0,hypergeometric.ga,comp,0,8,8
17,BH,0.0,0.0,0.0,simes,self,0,8,8
18,BH,0.0,0.0,0.0,hypergeometric.ga,comp,0,9,9
19,BH,0.0,0.0,0.0,simes,self,0,9,9
20,BH,0.0,0.0,0.0,hypergeometric.ga,comp,1,0,10
21,BH,0.0,0.0,0.0,simes,self,1,0,10
22,BH,0.0,0.0,0.0,hypergeometric.ga,comp,1,1,11
23,BH,0.0,0.0,0.0,simes,self,1,1,11
24,BH,0.0,0.0,0.0,hypergeometric.ga,comp,1,2,12
25,BH,0.0,0.0,0.0,simes,self,1,2,12
26,BH,0.0,0.0,0.0,hypergeometric.ga,comp,1,3,13
27,BH,0.0,0.0,0.0,simes,self,1,3,13
28,BH,0.0,0.0,0.0,hypergeometric.ga,comp,1,4,14
29,BH,0.0,0.0,0.0,simes,self,1,4,14
30,BH,0.0,0.0,0.0,hypergeometric.ga,comp,1,5,15
31,BH,0.0,0.0,0.0,simes,self,1,5,15
32,BH,0.0,0.0,0.0,hypergeometric.ga,comp,1,6,16
33,BH,0.0,0.0,0.0,simes,self,1,6,16
34,BH,0.0,0.0,0.0,hypergeometric.ga,comp,1,7,17
35,BH,0.0,0.0,0.0,simes,self,1,7,17
36,BH,0.0,0.0,0.0,hypergeometric.ga,comp,1,8,18
37,BH,0.0,0.0,0.0,simes,self,1,8,18
38,BH,0.0,0.0,0.0,hypergeometric.ga,comp,1,9,19
39,BH,0.0,0.0,0.0,simes,self,1,9,19
40,BH,0.0,0.0,0.0,hypergeometric.ga,comp,2,0,20
41,BH,0.0,0.0,0.0,simes,self,2,0,20
42,BH,0.0,0.0,0.0,hypergeometric.ga,comp,2,1,21
43,BH,1.0,2.0,0.0,simes,self,2,1,21
44,BH,0.0,0.0,0.0,hypergeometric.ga,comp,2,2,22
45,BH,1.0,2.0,0.0,simes,self,2,2,22
46,BH,0.0,0.0,0.0,hypergeometric.ga,comp,2,3,23
47,BH,0.0,0.0,0.0,simes,self,2,3,23
48,BH,0.0,0.0,0.0,hypergeometric.ga,comp,2,4,24
49,BH,0.0,0.0,0.0,simes,self,2,4,24
50,BH,0.0,0.0,0.0,hypergeometric.ga,comp,2,5,25
51,BH,0.0,0.0,0.0,simes,self,2,5,25
52,BH,0.0,0.0,0.0,hypergeometric.ga,comp,2,6,26
53,BH,0.0,0.0,0.0,simes,self,2,6,26
54,BH,0.0,0.0,0.0,hypergeometric.ga,comp,2,7,27
55,BH,0.0,0.0,0.0,simes,self,2,7,27
56,BH,0.0,0.0,0.0,hypergeometric.ga,comp,2,8,28
57,BH,0.0,0.0,0.0,simes,self,2,8,28
58,BH,0.0,0.0,0.0,hypergeometric.ga,comp,2,9,29
59,BH,0.0,0.0,0.0,simes,self,2,9,29
60,BH,0.0,0.0,0.0,hypergeometric.ga,comp,3,0,30
61,BH,0.0,0.0,0.0,simes,self,3,0,30
62,BH,0.0,0.0,0.0,hypergeometric.ga,comp,3,1,31
63,BH,0.0,0.0,0.0,simes,self,3,1,31
64,BH,0.0,0.0,0.0,hypergeometric.ga,comp,3,2,32
65,BH,1.0,1.0,0.0,simes,self,3,2,32
66,BH,0.0,0.0,0.0,hypergeometric.ga,comp,3,3,33
67,BH,0.0,0.0,0.0,simes,self,3,3,33
68,BH,0.0,0.0,0.0,hypergeometric.ga,comp,3,4,34
69,BH,0.0,0.0,0.0,simes,self,3,4,34
70,BH,0.0,0.0,0.0,hypergeometric.ga,comp,3,5,35
71,BH,1.0,6.0,0.0,simes,self,3,5,35
72,BH,0.0,0.0,0.0,hypergeometric.ga,comp,3,6,36
73,BH,0.0,0.0,0.0,simes,self,3,6,36
74,BH,0.0,0.0,0.0,hypergeometric.ga,comp,3,7,37
75,BH,0.0,0.0,0.0,simes,self,3,7,37
76,BH,0.0,0.0,0.0,hypergeometric.ga,comp,3,8,38
77,BH,0.0,0.0,0.0,simes,self,3,8,38
