 ,adjustment_method,empirical_fdr,num_rejections,empirical_power,testing_method,nonnull_type,regime_id,repetition_id,trial_id
0, BH , 0,0,0 , simes,self,0,0,0
1,Bonferroni,0,0,0 , simes,self,0,0,0
2,BH,0,0,0 , hypergeometric.ga,comp,0,0,0
3,Bonferroni,0,0,0 , hypergeometric.ga,comp,0,0,0
4, BH , 0,0,0 , simes,self,0,1,1
5,Bonferroni,0,0,0 , simes,self,0,1,1
6,BH,0,0,0 , hypergeometric.ga,comp,0,1,1
7,Bonferroni,0,0,0 , hypergeometric.ga,comp,0,1,1
8, BH , 0,0,0 , simes,self,0,2,2
9,Bonferroni,0,0,0 , simes,self,0,2,2
10,BH,0,0,0 , hypergeometric.ga,comp,0,2,2
11,Bonferroni,0,0,0 , hypergeometric.ga,comp,0,2,2
12, BH , 0,0,0 , simes,self,0,3,3
13,Bonferroni,0,0,0 , simes,self,0,3,3
14,BH,0,0,0 , hypergeometric.ga,comp,0,3,3
15,Bonferroni,0,0,0 , hypergeometric.ga,comp,0,3,3
16, BH , 0,0,0 , simes,self,0,4,4
17,Bonferroni,0,0,0 , simes,self,0,4,4
18,BH,0,0,0 , hypergeometric.ga,comp,0,4,4
19,Bonferroni,0,0,0 , hypergeometric.ga,comp,0,4,4
20, BH , 0,0,0 , simes,self,0,5,5
21,Bonferroni,0,0,0 , simes,self,0,5,5
22,BH,0,0,0 , hypergeometric.ga,comp,0,5,5
23,Bonferroni,0,0,0 , hypergeometric.ga,comp,0,5,5
24, BH , 0,0,0 , simes,self,0,6,6
25,Bonferroni,0,0,0 , simes,self,0,6,6
26,BH,0,0,0 , hypergeometric.ga,comp,0,6,6
27,Bonferroni,0,0,0 , hypergeometric.ga,comp,0,6,6
28, BH , 0,0,0 , simes,self,0,7,7
29,Bonferroni,0,0,0 , simes,self,0,7,7
30,BH,0,0,0 , hypergeometric.ga,comp,0,7,7
31,Bonferroni,0,0,0 , hypergeometric.ga,comp,0,7,7
32, BH , 0,0,0 , simes,self,0,8,8
33,Bonferroni,0,0,0 , simes,self,0,8,8
34,BH,0,0,0 , hypergeometric.ga,comp,0,8,8
35,Bonferroni,0,0,0 , hypergeometric.ga,comp,0,8,8
36, BH , 0,0,0 , simes,self,0,9,9
37,Bonferroni,0,0,0 , simes,self,0,9,9
38,BH,0,0,0 , hypergeometric.ga,comp,0,9,9
